country,year,gdp_growth,gov_size,investment,inflation,trade_open,gdp_future,gov_lag1,gov_lag2
BRA,1992,-0.544072051030298,17.0630155947621,18.4232590300656,951.962053052817,19.2533747878959,4.92469000463774,17.8998440765684,19.2909224528275
BRA,1993,4.92469000463774,17.6640230381336,19.2831161146442,1927.38079016026,19.5993205474635,5.8528703643893,17.0630155947621,17.8998440765684
BRA,1994,5.8528703643893,17.8657165129222,20.748084535259,2075.88839757325,18.6747597961023,4.2237936336472,17.6640230381336,17.0630155947621
BRA,1995,4.2237936336472,20.9279248587451,20.2862976209414,66.0070335542481,16.9844599991956,2.20886405051482,17.8657165129222,17.6640230381336
BRA,1996,2.20886405051482,19.7508265125741,18.6406537878258,15.7576656002606,15.6355914783829,3.39484598531597,20.9279248587451,17.8657165129222
BRA,1997,3.39484598531597,19.5352948012041,19.1229011235712,6.92671251629154,16.5762092633371,0.338097901952338,19.7508265125741,20.9279248587451
BRA,1998,0.338097901952338,20.0705315840705,18.5423484993731,3.19507629280051,16.438584928207,0.467937566679467,19.5352948012041,19.7508265125741
BRA,1999,0.467937566679467,19.7826907684467,17.0162942188145,4.85844749902666,20.982166473881,4.38794944364869,20.0705315840705,19.5352948012041
BRA,2000,4.38794944364869,18.7678457433113,18.3044880298194,7.04414105947265,22.6397613589755,1.3898964044581,19.7826907684467,20.0705315840705
BRA,2001,1.3898964044581,19.3432950151268,18.4180865006086,6.84035902487523,26.936285024943,3.05346185683619,18.7678457433113,19.7826907684467
BRA,2002,3.05346185683619,19.8096623433068,17.9262508224679,8.45016437708331,27.6183574077173,1.14082899877101,19.3432950151268,18.7678457433113
BRA,2003,1.14082899877101,19.0774784940227,16.6047591510601,14.7149197228147,28.1403847215489,5.75996463685998,19.8096623433068,19.3432950151268
BRA,2004,5.75996463685998,18.467583921631,17.3202333227377,6.59718509985963,29.6782524803495,3.20213206216255,19.0774784940227,19.8096623433068
BRA,2005,3.20213206216255,18.8900014180073,17.0561834601584,6.86953720898964,27.0867952052479,3.96198870899485,18.467583921631,19.0774784940227
BRA,2006,3.96198870899485,19.0389169434879,17.2102995751944,4.18356812896909,26.0416998879446,6.06987060733128,18.8900014180073,18.467583921631
BRA,2007,6.06987060733128,18.9429876166654,17.9957613418704,3.64127299102652,25.2926113757805,5.09419544811998,19.0389169434879,18.8900014180073
